Single Year of Age,Female,Male
0,28186,29610
1,27545,28875
2,28974,30236
3,29483,31001
4,29819,31686
5,31342,32684
6,32622,34092
7,33572,35429
8,34437,36296
9,35227,36969
10,36066,38035
11,36863,38296
12,37297,38957
13,36782,38474
14,36080,37352
15,34492,35948
16,33168,34646
17,33045,34981
18,32852,33900
19,31729,32867
20,31624,32120
21,29890,30771
22,30768,31450
23,30051,30871
24,29364,30234
25,29294,29969
26,28864,29376
27,29528,29162
28,29788,28902
29,30936,29989
30,32841,30858
31,33710,32237
32,34382,32413
33,34489,31888
34,36284,33121
35,37940,34695
36,39030,35828
37,39193,36427
38,40902,37513
39,42592,38749
40,43143,40301
41,43696,41401
42,43337,41644
43,41408,39275
44,39379,37940
45,38506,37710
46,38127,37289
47,37471,37053
48,37145,36472
49,37081,36650
50,36199,36050
51,35025,34926
52,34414,34356
53,32204,32611
54,32168,32050
55,31563,31353
56,31279,30684
57,31764,30891
58,30660,29775
59,30000,29196
60,29063,28455
61,28856,27849
62,27899,27116
63,26312,25884
64,26109,25127
65,25183,24900
66,24662,23759
67,24524,23627
68,23018,22502
69,23375,22594
70,21897,21253
71,21236,20449
72,21159,19965
73,20134,19121
74,19177,18493
75,18294,17473
76,17665,16094
77,15971,14601
78,14666,13392
79,13938,12166
80,12173,10674
81,11191,9470
82,10759,8779
83,9985,7900
84,8890,6765
85,8303,6154
86,7501,5370
87,6766,4515
88,5927,3771
89,4961,3036
90,4285,2444
91,3781,1950
92,2809,1297
93,2320,937
94,1737,718
95,1344,482
96,956,327
97,732,217
98,492,130
99,336,105
100,584,154
